earth , jupiter 
0.342523 1.213070 -0.023568 , 4.499429 1.955446 -0.108769 
0.315019 1.180977 -0.023498 , 4.488766 1.979772 -0.108631 
0.287116 1.146777 -0.023389 , 4.477978 2.004043 -0.108491 
0.258806 1.110317 -0.023236 , 4.467064 2.028257 -0.108347 
0.230084 1.071416 -0.023035 , 4.456026 2.052415 -0.108200 
0.200946 1.029861 -0.022779 , 4.444862 2.076516 -0.108050 
0.171393 0.985398 -0.022462 , 4.433575 2.100558 -0.107898 
0.141431 0.937722 -0.022073 , 4.422163 2.124542 -0.107742 
0.111074 0.886454 -0.021602 , 4.410627 2.148466 -0.107583 
0.080352 0.831122 -0.021034 , 4.398969 2.172330 -0.107421 
0.049321 0.771119 -0.020349 , 4.387187 2.196133 -0.107256 
0.018080 0.705640 -0.019521 , 4.375282 2.219875 -0.107088 
-0.013192 0.633582 -0.018513 , 4.363255 2.243555 -0.106917 
-0.044156 0.553352 -0.017268 , 4.351105 2.267172 -0.106744 
-0.074137 0.462491 -0.015692 , 4.338834 2.290725 -0.106567 
-0.101609 0.356825 -0.013614 , 4.326442 2.314215 -0.106387 
-0.122393 0.228156 -0.010659 , 4.313929 2.337639 -0.106204 
-0.119799 0.056183 -0.005681 , 4.301295 2.360999 -0.106018 
0.053425 -0.195701 0.007381 , 4.288540 2.384292 -0.105830 
0.205640 -0.370159 0.017522 , 4.275666 2.407518 -0.105638 
0.349029 -0.528465 0.026899 , 4.262672 2.430678 -0.105443 
0.487992 -0.679832 0.035924 , 4.249559 2.453769 -0.105246 
